link,rss,country,archive,name,country_image,user agent
https://taz.de/,https://taz.de/!p4608;rss/,Germany,false,Taz.de,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
https://www.welt.de/,https://www.welt.de/feeds/latest.rss,Germany,false,Welt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
https://www.wienerzeitung.at/,https://www.wienerzeitung.at/_em_daten/_module/10001.rss,Germany,false,Wiener Zeitung,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
https://www.scmp.com/,https://www.scmp.com/rss/91/feed,China,false,Scmp,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/1280px-Flag_of_the_People%27s_Republic_of_China.svg.png,none
https://www.channelnewsasia.com/,https://www.channelnewsasia.com/api/v1/rss-outbound-feed?_format=xml,Singapore,false,Channels News Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/180px-Flag_of_Singapore.svg.png,none
https://www.france24.com/en/,https://www.france24.com/en/business-tech/rss,France,false,France 24,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/180px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png,none
https://www.thelocal.fr/,https://feeds.thelocal.com/rss/fr,France,false,TheLocal.fr,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/180px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png,none
https://www.lemonde.fr/,https://www.lemonde.fr/rss/une.xml,France,false,Le Monde,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/180px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png,none
https://www.repubblica.it/,https://www.repubblica.it/rss/homepage/rss2.0.xml,Italy,false,La Republicca,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/180px-Flag_of_Italy.svg.png,none
https://www.corriere.it/#,http://xml2.corriereobjects.it/rss/homepage.xml,Italy,false,Corriere.it,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/180px-Flag_of_Italy.svg.png,none
https://www.ilfattoquotidiano.it/,https://www.ilfattoquotidiano.it/feed/,Italy,false,Il Fatto Quotidiano,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/180px-Flag_of_Italy.svg.png,none
https://asia.nikkei.com/,http://fetchrss.com/rss/63139226859a0d147c34c5e2631391ef107ae06da7773d52.xml,Japan,false,Nikkei Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/180px-Flag_of_Japan.svg.png,none
https://www.asahi.com/,https://www.asahi.com/rss/asahi/newsheadlines.rdf,Japan,false,Asahi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/180px-Flag_of_Japan.svg.png,none
https://www.japantimes.co.jp/,https://www.japantimes.co.jp/feed/topstories/,Japan,false,Japan Times,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/180px-Flag_of_Japan.svg.png,none
https://timesofindia.indiatimes.com/?from=mdr,https://timesofindia.indiatimes.com/rssfeedmostrecent.cms,India,false,Times of India,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/180px-Flag_of_India.svg.png,none
https://www.bhaskar.com/,https://www.bhaskar.com/rss-v1--category-7140.xml,India,false,Bhaskar,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/180px-Flag_of_India.svg.png,none
https://www.wsj.com/,https://feeds.a.dj.com/rss/RSSWorldNews.xml,United States,false,WSJ,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
http://www.newsday.com/,https://www.newsday.com/api/rss/recent,United States,false,NewsDay,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.straitstimes.com/,https://www.straitstimes.com/news/world/rss.xml,Singapore,false,Straits Times,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/180px-Flag_of_Singapore.svg.png,none
https://www.republicworld.com/amp,http://fetchrss.com/rss/63139226859a0d147c34c5e26313a6070614963e077a91b2.xml,India,false,Republic World,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/180px-Flag_of_India.svg.png,none
